RECORD_ID,DAY,MONTH,YEAR,STORE_ID,SKU_ID,TOTAL_PRICE,BASE_PRICE,IS_FEATURED_SKU,IS_DISPLAY_SKU,UNITS_SOLD
180420,2025,2,26,9112,219029,178.1250,327.0375,1,1,593
180407,2025,2,26,9092,546789,177.4125,177.4125,0,1,42
180408,2025,2,26,9112,216418,107.5875,106.8750,0,1,158
180409,2025,2,26,9112,216419,106.8750,106.8750,0,0,137
180410,2025,2,26,9112,300021,106.1625,106.8750,0,1,38
180413,2025,2,26,9112,216425,130.3875,130.3875,0,0,64
180414,2025,2,26,9112,216233,131.1000,131.1000,0,0,92
180415,2025,2,26,9112,217390,151.0500,168.8625,0,0,76
180418,2025,2,26,9112,219844,228.7125,366.9375,1,1,88
180419,2025,2,26,9112,219009,199.5000,199.5000,0,0,166
180406,2025,2,26,9092,679023,177.4125,177.4125,0,1,17
180421,2025,2,26,9112,222087,143.9250,223.7250,0,0,90
180422,2025,2,26,9112,320485,213.0375,213.0375,0,0,8
180426,2025,2,26,9112,222765,177.4125,232.9875,0,1,242
180427,2025,2,26,9112,223245,175.9875,236.5500,0,1,247
180428,2025,2,26,9112,223153,236.5500,236.5500,0,0,17
180430,2025,2,26,9112,245387,512.2875,512.2875,0,0,11
180431,2025,2,26,9112,245338,512.2875,512.2875,0,0,7
180433,2025,2,26,9112,547934,177.4125,177.4125,0,0,17
180395,2025,2,26,9092,222087,234.4125,234.4125,0,0,40
180387,2025,2,26,9092,216418,70.5375,86.9250,0,1,56
180388,2025,2,26,9092,216419,70.5375,86.2125,0,1,88
180389,2025,2,26,9092,216425,134.6625,134.6625,0,0,12
180390,2025,2,26,9092,216233,133.2375,133.2375,0,0,27
180391,2025,2,26,9092,217390,137.5125,137.5125,0,0,30
180392,2025,2,26,9092,219844,232.9875,210.1875,1,1,7
180393,2025,2,26,9092,219009,178.1250,178.1250,0,0,104
180394,2025,2,26,9092,219029,177.4125,295.6875,1,1,76
180434,2025,2,26,9112,673209,346.9875,346.9875,0,0,11
